KOI,kepmag,rhostar,mstar,logg,[M/H],TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,minper,maxper,meanper,perrange,lograngep,normstdp,meandpp,gapc,gini,qdisp,meanzeta,minrad,maxrad,meanrad,radrange,stdr,normstdr,qdispr,gini_r,subearth,supearth,subnep,nepplus,
2093,15.357,1.30514,1.05,4.352,0.021,[0.49606935 2.50814761 6.78344102],[1.222 1.453 2.387],[-0.096 -0.103 -0.154],[0.105 0.149 0.2  ],[2243.  429.  165.],[22.1 18.3 35.3],[10.8 15.2 28.8],[25160.5 10014.1  5143. ],3,0.49606935,6.78344102,3.2625526599999994,6.28737167,1.1359076586222163,0.8035591884849486,2.880302203131775,0.17928273417731927,0.30300219429715164,0.13745686119912162,0.9898272339936587,1.222,2.387,1.6873333333333331,1.165,0.5036469221808292,0.298486915555608,0.12456430890983504,0.23014618727775588,0,2,1,0,
2135,12.99,0.0619,1.55,3.597,-0.12,[ 8.48651178 20.18919494 55.18668757],[1.57  1.581 2.895],[-0.079 -0.093 -0.145],[0.114 0.12  0.211],[129.  54.  19.],[21.  15.  36.2],[17.8 10.5 23. ],[4876.7 2815.1 1340.3],3,8.48651178,55.18668757,27.95413143,46.700175789999996,0.8131051091134684,0.7097394281501738,1.556225431220104,0.0179254173345647,0.06934089227689137,0.030180923593065477,1.0469219242459125,1.57,2.895,2.015333333333333,1.325,0.6220344756433431,0.3086509141465481,0.12598537945083624,0.21915315911346347,0,2,1,0,
2148,13.353,0.43849,1.23,4.057,0.417,[ 3.61456972  7.54240326 11.93206303],[1.276 1.82  2.113],[-0.087 -0.083 -0.084],[0.112 0.108 0.13 ],[285. 141.  90.],[14.9 25.8 32.3],[11.1 19.1 23.4],[7826.7 5562.4 4702.9],3,3.61456972,11.93206303,7.696345336666667,8.31749331,0.5186589327182286,0.44142337652294783,0.8343322322802915,0.16886604840686234,0.1375621805551556,0.06026663038192802,0.5423015917518362,1.276,2.113,1.7363333333333333,0.837,0.34678747894864304,0.19972402319944887,0.09235045503910633,0.16068343252063738,0,2,1,0,
2163,14.651,1.67741,0.89,4.474,-0.245,[10.66493632 17.78345269 28.22496547],[1.56  1.443 1.305],[-0.123 -0.123 -0.142],[0.172 0.159 0.168],[114.  75.  45.],[25.3 18.7  8.9],[21.7 15.1  8. ],[3381.1 2176.3  912.5],3,10.66493632,28.22496547,18.89111816,17.56002915,0.422675152653496,0.3817408519013163,0.6273084273841321,0.008397268880201248,0.024679254699962367,0.010721057231593395,1.1925711599766051,1.305,1.56,1.436,0.2550000000000001,0.10422091920531122,0.07257724178642844,0.0317501199793946,0.05919220055710309,0,3,0,0,
2169,14.834,0.96015,0.87,4.308,0.086,[3.26662197 4.27223792 5.45297445],[0.664 0.603 0.798],[-0.039 -0.04  -0.042],[0.06  0.045 0.054],[390. 317. 246.],[18.6 13.7 21. ],[18.  13.7 23.1],[7751.4 5912.3 4731.5],3,3.26662197,5.45297445,4.3306114466666665,2.18635248,0.22253458416631133,0.20632849581992074,0.2921100372940806,0.007376249333052408,0.012178368518437673,0.005289357806506476,0.9451456146990238,0.603,0.798,0.6883333333333334,0.19500000000000006,0.0814466423835603,0.1183244199276905,0.05056548969045183,0.0944309927360775,3,0,0,0,
2174,15.673,3.533,0.65,4.641,0.0,[ 3.01610646  6.69329801  7.72516951 33.13623937],[0.889 1.726 1.225 1.793],[-0.102 -0.126 -0.12  -0.146],[0.159 0.202 0.18  0.189],[418. 195. 166.  38.],[ 8.1 23.4 10.5 16.3],[ 7.4 17.9 11.7 11.4],[6188.9 3722.4 3094.9 1315.7],4,3.01610646,33.13623937,12.642703337499999,30.12013291,1.0408565519916675,0.9460560491869741,1.5542455056449487,0.5925303053144972,0.40915171925333754,0.24044092192442726,0.9703494912197462,0.889,1.793,1.40825,0.9039999999999999,0.37155038352826386,0.2638383692726887,0.12488852828338623,0.190129593467069,1,3,0,0,
2183,15.504,3.23799,0.65,4.617,-0.44,[  4.57947332  19.02309588 150.3814056 ],[1.471 2.05  2.061],[-0.087 -0.12  -0.211],[0.125 0.187 0.231],[282.  68.   8.],[20.  19.7  7.8],[18.  18.8  7.8],[6638.8 2040.3  330.9],3,4.57947332,150.3814056,57.99465826666667,145.80193228,1.5163786066526304,1.131015802673033,5.029596774860772,0.10830280052702315,0.3110663564522782,0.1414604531446395,0.692815301928277,1.471,2.061,1.8606666666666667,0.5899999999999999,0.2755725353191464,0.1481041931131206,0.0686992839978013,0.10569688283769256,0,1,2,0,
2194,13.865,0.63765,0.88,4.241,-0.203,[ 34.76298361  67.96842021 445.2180022 ],[2.164 2.271 1.832],[-0.122 -0.097 -0.148],[0.183 0.151 0.136],[39. 22.  4.],[24.  27.3 11.1],[19.6 20.4  7.9],[1392.8 1156.1  400.6],3,34.76298361,445.2180022,182.64980200666665,410.45501859,1.1074556728685105,1.0192071742597748,3.2527804260279263,0.6108814775392359,0.5402548338253383,0.27302530617853815,0.3406120455414453,1.832,2.271,2.089,0.43899999999999983,0.18690282680223605,0.08946999846923698,0.040005368870690707,0.07004946545396519,0,1,2,0,
2195,15.961,1.38632,0.92,4.423,0.001,[ 6.84974223 20.0546569  30.09016159],[1.485 2.206 1.96 ],[-0.099 -0.14  -0.13 ],[0.117 0.14  0.155],[194.  70.  44.],[17.  26.9 16.6],[14.3 22.6 14.9],[7835.3 4167.7 2441.7],3,6.84974223,30.09016159,18.998186906666668,23.24041936,0.6427502915936224,0.5009544052937983,1.2141025057237254,0.5652746960956808,0.3223404544521763,0.14710758900982085,0.7243540963181428,1.485,2.206,1.8836666666666666,0.7209999999999999,0.29925500088646056,0.15886834235699554,0.07227275718165602,0.12758803751548395,0,1,2,0,
2220,14.686,0.62716,1.03,4.188,0.139,[ 1.89782214  3.28279781  5.0281665   7.66463518 11.92923256],[1.558 1.606 1.809 1.441 1.357],[-0.089 -0.092 -0.094 -0.105 -0.123],[0.129 0.111 0.122 0.105 0.148],[675. 409. 255. 163. 110.],[27.2 24.4 26.1 13.2  9.5],[22.6 17.4 20.1  9.8  0. ],[16633.8 11467.8  7915.2  5303.9  3414.9],5,1.89782214,11.92923256,5.9605308379999995,10.03141042,0.7983569964129835,0.595877619928437,0.5855453460143939,0.014963496433898976,0.03369090189244992,0.02242885992334524,0.5887504226667448,1.357,1.809,1.5542,0.45199999999999996,0.15448158466302706,0.09939620683504508,0.04266591918575549,0.06878136661948268,0,5,0,0,
2243,14.689,0.1556,1.27,3.834,0.009,[ 5.18557989  8.4580914  31.44568806],[2.177 2.197 3.09 ],[-0.114 -0.128 -0.227],[0.137 0.2   0.303],[261. 154.  44.],[27.5 18.3 12.7],[22.7 16.   9.4],[8898.5 3984.   648.1],3,5.18557989,31.44568806,15.029786449999998,26.26010817,0.7827637724527707,0.7774179381450055,1.674451168353973,0.5762895090590696,0.39012564510364445,0.1824639151552387,1.1750314713214067,2.177,3.09,2.488,0.9129999999999998,0.42575658147193285,0.1711240279228026,0.07103425445146469,0.12232047159699891,0,0,3,0,
